wave,outcome,stratum,n,term,coef,se,t,p
2020,marriage_sat,all,751,father_ideation,0.17103,0.23794,0.719,0.47249
2020,marriage_sat,all,751,child_female,-0.12868,0.3528,-0.365,0.7154
2020,marriage_sat,all,751,age_c,-0.11379,0.08565,-1.328,0.18443
2020,marriage_sat,all,751,age_c2,0.24875,0.04832,5.148,0.0
2020,marriage_sat,all,751,urban,0.09959,0.06986,1.426,0.15442
2020,marriage_sat,all,751,parent_avg_age,0.01016,0.00833,1.219,0.22328
2020,marriage_sat,all,751,parent_avg_edu,-0.03275,0.0101,-3.244,0.00123
2020,marriage_sat,all,751,parent_log_income,0.05667,0.03405,1.664,0.09644
2020,marriage_sat,all,751,mother_id_x_female,-0.60402,0.40345,-1.497,0.13478
2020,marriage_sat,all,751,father_id_x_female,0.01964,0.37209,0.053,0.95793
2020,marriage_sat,male,416,const,3.48022,0.87932,3.958,9e-05
2020,marriage_sat,male,416,mother_ideation,-0.2372,0.24173,-0.981,0.32705
2020,marriage_sat,male,416,father_ideation,0.14593,0.23708,0.616,0.53856
2020,marriage_sat,male,416,age_c,-0.08248,0.11135,-0.741,0.45931
2020,marriage_sat,male,416,age_c2,0.1705,0.05912,2.884,0.00414
2020,marriage_sat,male,416,urban,0.01253,0.09048,0.138,0.88994
2020,marriage_sat,male,416,parent_avg_age,0.00748,0.01044,0.716,0.47439
2020,marriage_sat,male,416,parent_avg_edu,-0.03295,0.01181,-2.789,0.00553
2020,marriage_sat,male,416,parent_log_income,0.09222,0.04153,2.221,0.02691
2020,marriage_sat,female,335,const,3.7356,1.09951,3.397,0.00076
2020,marriage_sat,female,335,mother_ideation,-0.82324,0.32398,-2.541,0.01152
2020,marriage_sat,female,335,father_ideation,0.18108,0.29364,0.617,0.53788
2020,marriage_sat,female,335,age_c,-0.01261,0.17677,-0.071,0.94317
2020,marriage_sat,female,335,age_c2,0.42307,0.11898,3.556,0.00043
2020,marriage_sat,female,335,urban,0.16534,0.11094,1.49,0.13709
2020,marriage_sat,female,335,parent_avg_age,0.0142,0.01368,1.038,0.30017
